Customer_ID,Campaign,Emails_Sent,Emails_Opened,Clicked_Through,Made_Purchase,Number_of_Orders,Total_Revenue,Customer_Segment,Previous_30day_Orders
C001000,A,4,2,0,0,0,0.0,Regular,2
C001001,A,4,1,0,0,0,0.0,New,5
C001002,A,4,0,0,0,0,0.0,VIP,0
C001003,A,4,0,0,0,0,0.0,Regular,4
C001004,A,4,3,0,0,0,0.0,VIP,0
C001005,A,4,1,1,0,0,0.0,Regular,3
C001006,A,4,2,0,0,0,0.0,New,1
C001007,A,4,1,0,1,1,71.47,Regular,1
C001008,A,4,1,0,0,0,0.0,VIP,2
C001009,A,4,1,0,0,0,0.0,Regular,4
C001010,A,4,0,0,0,0,0.0,New,0
C001011,A,4,2,0,0,0,0.0,VIP,1
C001012,A,4,1,0,0,0,0.0,Regular,1
C001013,A,4,2,0,0,0,0.0,Regular,2
C001014,A,4,0,0,0,0,0.0,New,1
C001015,A,4,1,0,0,0,0.0,Regular,1
C001016,A,4,0,0,0,0,0.0,New,1
C001017,A,4,0,0,0,0,0.0,Regular,2
C001018,A,4,1,0,0,0,0.0,Regular,1
C001019,A,4,1,1,0,0,0.0,New,4
C001020,A,4,1,0,0,0,0.0,Regular,1
C001021,A,4,1,1,0,0,0.0,Regular,1
C001022,A,4,2,0,0,0,0.0,Regular,1
C001023,A,4,2,0,0,0,0.0,New,3
C001024,A,4,1,1,0,0,0.0,New,2
C001025,A,4,0,0,0,0,0.0,Regular,3
C001026,A,4,1,0,0,0,0.0,Regular,0
C001027,A,4,0,0,0,0,0.0,New,3
C001028,A,4,0,0,0,0,0.0,New,2
C001029,A,4,3,0,0,0,0.0,New,0
C001030,A,4,0,0,1,2,242.04,Regular,3
C001031,A,4,1,0,0,0,0.0,New,4
C001032,A,4,1,1,0,0,0.0,Regular,3
C001033,A,4,2,0,0,0,0.0,Regular,5
C001034,A,4,1,0,0,0,0.0,Regular,2
C001035,A,4,0,0,0,0,0.0,Regular,3
C001036,A,4,1,0,0,0,0.0,Regular,1
C001037,A,4,1,0,0,0,0.0,New,3
C001038,A,4,0,0,0,0,0.0,Regular,0
C001039,A,4,0,0,0,0,0.0,New,0
C001040,A,4,0,0,0,0,0.0,Regular,0
C001041,A,4,0,0,0,0,0.0,New,2
C001042,A,4,1,0,0,0,0.0,New,1
C001043,A,4,0,0,0,0,0.0,New,4
C001044,A,4,1,0,0,0,0.0,Regular,3
C001045,A,4,2,1,0,0,0.0,Regular,3
C001046,A,4,2,0,0,0,0.0,VIP,2
C001047,A,4,0,0,0,0,0.0,Regular,0
C001048,A,4,0,0,0,0,0.0,New,0
C001049,A,4,0,0,0,0,0.0,Regular,1
C001050,A,4,1,0,0,0,0.0,New,2
C001051,A,4,1,0,0,0,0.0,New,0
C001052,A,4,0,0,0,0,0.0,Regular,1
C001053,A,4,2,0,0,0,0.0,New,1
C001054,A,4,0,0,0,0,0.0,Regular,3
C001055,A,4,1,0,0,0,0.0,VIP,0
C001056,A,4,2,0,0,0,0.0,Regular,2
C001057,A,4,2,0,0,0,0.0,Regular,4
C001058,A,4,1,1,0,0,0.0,New,0
C001059,A,4,2,0,0,0,0.0,Regular,2
C001060,A,4,1,0,0,0,0.0,Regular,2
C001061,A,4,2,0,0,0,0.0,New,0
C001062,A,4,0,0,0,0,0.0,New,2
C001063,A,4,3,0,0,0,0.0,VIP,0
C001064,A,4,1,0,0,0,0.0,Regular,3
C001065,A,4,2,0,0,0,0.0,VIP,5
C001066,A,4,1,0,0,0,0.0,Regular,1
C001067,A,4,1,0,0,0,0.0,Regular,3
C001068,A,4,1,0,0,0,0.0,New,3
C001069,A,4,2,0,0,0,0.0,Regular,4
C001070,A,4,0,0,0,0,0.0,New,1
C001071,A,4,0,0,0,0,0.0,Regular,2
C001072,A,4,0,0,0,0,0.0,New,3
C001073,A,4,0,0,0,0,0.0,New,0
C001074,A,4,2,0,0,0,0.0,Regular,0
C001075,A,4,1,0,0,0,0.0,VIP,3
C001076,A,4,3,0,0,0,0.0,Regular,0
C001077,A,4,0,0,0,0,0.0,New,0
C001078,A,4,0,0,0,0,0.0,Regular,3
C001079,A,4,2,0,0,0,0.0,Regular,3
C001080,A,4,1,0,0,0,0.0,New,1
